施設種別,都道府県,市区町村,施設名,住所,郵便番号,設置者法人名,運営委託先法人名,設置区分,設置パターン,定員合計,在籍児童合計,充足率,開所時間,開所曜日,施設HP,出典
企業主導型保育園,長野県,佐久市,はたらクリエイト託児所,長野県佐久市協和7334,,株式会社はたらクリエイト,,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,19,5,26.32%,08:30～17:30,月 火 水 木 金,,児童育成協会_2026年1月施設一覧
企業主導型保育園,長野県,佐久市,フェアリーランド長野佐久平保育園,長野県佐久市野沢323-22,,株式会社リューケンハイム,,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,19,19,100%,07:00～20:00,月 火 水 木 金 土 日,,児童育成協会_2026年1月施設一覧
幼保連携型認定こども園,長野県,佐久市,幼保連携型認定こども園浅科幼稚園,長野県佐久市甲１１８１ー８,384-2104,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,佐久市,あさま幼稚園,長野県佐久市長土呂１３８３,385-0021,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,佐久市,カトリック幼稚園,長野県佐久市取出町１８５－１,385-0043,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,佐久市,佐久南幼稚園,長野県佐久市湯原１１－１,384-0307,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,佐久市,佐久幼稚園,長野県佐久市猿久保２３２,385-0011,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,佐久市,白鳩幼稚園,長野県佐久市協和２３２２－１,384-2204,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,北佐久郡御代田町,サムエル幼稚園,長野県北佐久郡御代田町大字塩野３１８０番地５５８,389-0201,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,北佐久郡御代田町,杉の子幼稚園,長野県北佐久郡御代田町御代田２７４４,389-0206,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,北佐久郡軽井沢町,聖パウロ幼稚園,長野県北佐久郡軽井沢町長倉３３２４－３,389-0111,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,北佐久郡軽井沢町,軽井沢幼稚園,長野県北佐久郡軽井沢町大字軽井沢７８６－１,389-0102,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,北佐久郡軽井沢町,軽井沢風越幼稚園,長野県北佐久郡軽井沢町大字発地１２７８－１６,389-0113,,,私立,,,,,,,,文部科学省_学校コード一覧
企業主導型保育園,長野県,北安曇郡松川村,シュタイナー保育園星の光,長野県北安曇郡松川村419-1,,一般社団法人シュタイナー療育センター,,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,15,14,93.33%,08:00～18:00,月 火 水 木 金,,児童育成協会_2026年1月施設一覧
幼稚園,長野県,北安曇郡白馬村,白馬幼稚園,長野県北安曇郡白馬村北城８９５－４,399-9301,,,私立,,,,,,,,文部科学省_学校コード一覧
企業主導型保育園,長野県,千曲市,ちくまの森保育園genius,長野県千曲市上徳間329-1,,合同会社メディカル・ワークサポート,,,2.「住宅地型」駅等近接以外の住宅地に設置,12,12,100%,07:30～18:30,月 火 水 木 金 土 日,,児童育成協会_2026年1月施設一覧
企業主導型保育園,長野県,千曲市,ひかり保育園,長野県千曲市磯部1365-3,,株式会社八光,株式会社ニチイ学館,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,18,18,100%,07:30～18:30（延長07:30～19:00）,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
幼稚園,長野県,千曲市,さゆり幼稚園,長野県千曲市磯部９３１,389-0806,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,長野県,埴科郡坂城町,坂城幼稚園,長野県埴科郡坂城町坂城９５２２－１,389-0601,,,私立,,,,,,,,文部科学省_学校コード一覧
企業主導型保育園,長野県,塩尻市,ハートフルキッズ広丘保育園,長野県塩尻市広丘原新田571-5,,株式会社パワーネット・フィールド,,,1.「駅等近接型」交通の利便性の高い駅等の近くに設置,19,19,100%,07:30～18:30,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
